gene,rna_rep1,rna_rep2
Actn4,0.456207159177456,0.590851334180432
Actr10,0.366666666666667,0.491869918699187
Actr1a,0.466101694915254,0.388888888888889
Actr1b,0.432692307692308,0.315315315315315
Actr5,0.465648854961832,0.117647058823529
Actr6,0.433333333333333,0.52
Actr8,0.581699346405229,0.554054054054054
Acvr1,0.375,0.256410256410256
Acvr2b,0.6,0.338461538461538
Acy1,0.574257425742574,0.399159663865546
Ada,0.408163265306122,0.597701149425287
Adad2,0.5,1
Adal,0.720930232558139,0.58695652173913
Adam10,0.410526315789474,0.41726618705036
Adam15,0.423076923076923,0.384615384615385
Adam17,0.378640776699029,0.586206896551724
Adam19,0.625,0.480582524271845
Adam22,0.464285714285714,0.508474576271186
Adam23,0.752066115702479,0.676190476190476
Adam9,0.63302752293578,0.658333333333333
Adamts14,0.125,0.113636363636364
Adamts7,0.791666666666667,1
Adamts9,0.15,0.302325581395349
Adap1,0.352941176470588,0.223880597014925
Adar,0.520833333333333,0.618181818181818
Adarb1,0.6,0.818181818181818
Adat1,0.767441860465116,0.590604026845638
Adat2,0.13953488372093,0.5
Adck1,0.4,0.185185185185185
Adck2,0.826086956521739,0.40625
Adck5,0.909090909090909,0.375
Adcy3,0.333333333333333,0.107142857142857
Adcy9,0.428571428571429,0.56
Add1,0.461059190031153,0.490530303030303
Adgra3,0.483594864479315,0.390608324439701
Adgre5,0.505494505494505,0.676567656765677
Adgrg1,0.785714285714286,1
Adgrl1,0.666666666666667,0.623853211009174
Adgrl2,0.28,0.423076923076923
Adgrv1,0.25,0.411764705882353
Adh5,0.539611360239163,0.60031847133758
Adi1,0.539325842696629,0.494186046511628
Adipor1,0.434285714285714,0.602941176470588
Adk,0.545226130653266,0.493403693931398
Adnp2,0.347222222222222,0.305647840531561
Ado,0.464788732394366,0.401869158878505
Adprhl2,0.358490566037736,0.457142857142857
Adprm,0.644736842105263,0.378787878787879
Adrb3,0.672131147540984,0.666666666666667
Adsl,0.359133126934985,0.461645746164575
Aebp2,0.567164179104478,0.419753086419753
Afap1,0.606060606060606,0
Afdn,0.433333333333333,0.591928251121076
Aff1,0.53496821071753,0.560351133869788
Aff2,0,0
Aff4,0.471264367816092,0.601307189542484
Afg1l,0.571428571428571,0.577777777777778
Afg3l1,0.638260869565217,0.674050632911392
Afg3l2,0.443548387096774,0.461412151067323
Aftph,0.588235294117647,0.64
Aga,0.861313868613139,0.719101123595506
Agap1,0.6,0.864406779661017
Agap3,0.542857142857143,0.243243243243243
Agfg1,0.341002465078061,0.380681818181818
Agfg2,0.579268292682927,0.449704142011834
Aggf1,0.469719350073855,0.427272727272727
Agl,0.557213930348259,0.652941176470588
Agmat,1,1
Ago1,0.595588235294118,0.695906432748538
Ago2,0.451851851851852,0.522727272727273
Ago3,0.540540540540541,0.0204081632653061
Agpat2,0.458333333333333,0.75
Agpat3,0.25,0.37037037037037
Agpat4,0.926829268292683,0.626373626373626
Agpat5,0.666666666666667,0.547619047619048
Agps,0.506024096385542,0.301204819277108
Agrn,0.5345,0.579188107489994
Agtpbp1,0.566666666666667,0.586206896551724
Agtrap,0.441624365482233,0.643835616438356
Ahctf1,0.490356083086053,0.514878892733564
Ahcyl2,0.366666666666667,0.587301587301587
Ahdc1,0.613636363636364,0.59866220735786
Ahi1,0.272727272727273,0.326086956521739
Ahr,0.6,0.952380952380952
Ahsa2,0.435897435897436,0.166666666666667
AI467606,0.32,0
AI597479,0.310344827586207,0.176470588235294
AI661453,0.566666666666667,1
AI987944,0.235294117647059,0.903225806451613
Aifm2,0.222222222222222,0.535714285714286
Aig1,0.634615384615385,0.171428571428571
Aim2,0.75,0.263157894736842
Aimp1,0.463768115942029,0.435185185185185
Aimp2,0.477777777777778,0.331325301204819
Aip,0.647959183673469,0.527777777777778
Aire,0.434343434343434,0.078125
Ajuba,0.55,0.449814126394052
Ak4,0.652631578947368,0.433333333333333
Ak6,0.536842105263158,0.594059405940594
