gene,long_rep1_ASE_pat,long_rep1_ASE_mat,long_rep1_pat_ratio,long_rep1_longread_def,long_rep2_ASE_pat,long_rep2_ASE_mat,long_rep2_pat_ratio,long_rep2_longread_def
Erp29,62,48,0.563636363636364,none,79,52,0.603053435114504,none
Esco2,81,84,0.490909090909091,none,52,53,0.495238095238095,none
Esd,176,152,0.536585365853659,none,141,131,0.518382352941177,none
Esf1,39,37,0.513157894736842,none,27,33,0.45,none
Esrrb,82,85,0.491017964071856,none,80,98,0.449438202247191,none
Etaa1,29,41,0.414285714285714,none,22,33,0.4,none
Etv5,85,72,0.54140127388535,none,64,53,0.547008547008547,none
Exo1,78,39,0.666666666666667,none,45,44,0.50561797752809,none
Exoc3,23,34,0.403508771929825,none,23,20,0.534883720930233,none
Exosc10,50,42,0.543478260869565,none,52,36,0.590909090909091,none
Exosc5,84,81,0.509090909090909,none,64,65,0.496124031007752,none
Exosc7,93,86,0.519553072625698,none,48,59,0.448598130841121,none
Exosc8,102,82,0.554347826086957,none,111,90,0.552238805970149,none
Exosc9,36,50,0.418604651162791,none,31,39,0.442857142857143,none
Ezh2,80,127,0.386473429951691,none,95,113,0.456730769230769,none
Ezr,176,138,0.560509554140127,none,168,133,0.558139534883721,none
F2rl1,34,49,0.409638554216867,none,24,37,0.39344262295082,none
Faf1,151,100,0.601593625498008,none,104,98,0.514851485148515,none
Faf2,30,29,0.508474576271186,none,22,32,0.407407407407407,none
Fam114a2,30,48,0.384615384615385,none,24,43,0.358208955223881,none
Fam169a,42,72,0.368421052631579,none,22,37,0.372881355932203,none
Fam216a,22,21,0.511627906976744,none,22,23,0.488888888888889,none
Fam3c,56,42,0.571428571428571,none,28,30,0.482758620689655,none
Fam91a1,47,46,0.505376344086022,none,30,20,0.6,none
Fam92a,48,42,0.533333333333333,none,42,43,0.494117647058824,none
Fanci,41,27,0.602941176470588,none,30,31,0.491803278688525,none
Fancl,47,43,0.522222222222222,none,17,35,0.326923076923077,none
Farsa,108,36,0.75,none,127,34,0.788819875776398,none
Farsb,101,116,0.465437788018433,none,101,92,0.523316062176166,none
